# time x y cluster_labels
315479880.0000000 453039.4122963 4650808.3050048 0.0000000
315479910.0000000 447446.8743316 4646026.2820239 0.0000000
315479940.0000000 458084.1435723 4619220.6248020 0.0000000
315480090.0000000 500109.5152326 4614277.2025480 -1.0000000
315480150.0000000 479210.6450635 4657987.9031298 0.0000000
315480150.0000000 481390.5209854 4617369.1093293 0.0000000
315480180.0000000 470190.2409495 4609080.1093869 0.0000000
315480240.0000000 482789.0374473 4652426.7640625 0.0000000
315480270.0000000 486742.3547782 4669365.1364830 0.0000000
315480270.0000000 485388.9213485 4645408.5540627 0.0000000
315480300.0000000 489014.1785486 4662786.9653732 0.0000000
315480330.0000000 491598.3847885 4640577.5461501 0.0000000
315480360.0000000 501410.3284175 4681186.6224771 -1.0000000
315480420.0000000 496500.2530451 4623919.5716472 0.0000000
315480510.0000000 513915.1261202 4610784.7178918 -1.0000000
315480540.0000000 495202.8299795 4646125.5909039 0.0000000
315480600.0000000 454393.9759448 4658104.3816255 0.0000000
315480690.0000000 488988.3094547 4646132.5099071 0.0000000
315480720.0000000 475309.0791934 4662821.5821689 0.0000000
315480840.0000000 464051.3264029 4630583.1240116 0.0000000
315480870.0000000 464077.8374888 4635842.2643220 0.0000000
315481380.0000000 445443.9376871 4640781.8353377 0.0000000
315481410.0000000 465379.5476200 4634082.7261789 0.0000000
315481470.0000000 471564.5587252 4623975.2624156 0.0000000
315481500.0000000 471564.5587252 4623975.2624156 0.0000000
315481800.0000000 456471.8671543 4624051.2210918 0.0000000
315481830.0000000 456613.5766419 4647279.2134735 0.0000000
315482100.0000000 456635.0173098 4650785.3989199 0.0000000
315482130.0000000 440588.8609141 4647395.2687217 0.0000000
315482280.0000000 481433.8423421 4634022.8201367 0.0000000
315482310.0000000 440409.4237601 4625920.2167500 -1.0000000
315482340.0000000 479116.0179683 4625702.2521753 0.0000000
315482370.0000000 482769.5339441 4644391.7931993 0.0000000
315482370.0000000 490325.6294615 4667313.9747251 0.0000000
315482400.0000000 484100.7853776 4654468.9905662 0.0000000
315482460.0000000 451781.6925677 4658121.7079320 0.0000000
315482550.0000000 489029.8729440 4672867.5065155 0.0000000
315482670.0000000 462724.1062454 4627522.0383832 0.0000000
315482700.0000000 464068.9977190 4634089.2131132 0.0000000
315482730.0000000 459192.1032803 4640689.6595151 0.0000000
315482760.0000000 490307.6131014 4654165.5903922 0.0000000
315482910.0000000 468846.6329953 4602512.0489241 0.0000000
315482970.0000000 459144.3579266 4632362.6366481 0.0000000
315483000.0000000 486335.8281718 4627437.8285739 0.0000000
315483150.0000000 497823.4189008 4658980.3346953 0.0000000
315483180.0000000 484017.7389789 4617362.7668633 0.0000000
315483270.0000000 465273.3041064 4612169.9918658 0.0000000
315483300.0000000 459011.5456842 4609135.1985460 0.0000000
315483570.0000000 465339.1263735 4625755.7985800 0.0000000
315483600.0000000 462705.8116876 4624015.9844930 0.0000000
315483930.0000000 459116.7480384 4627541.7784720 0.0000000
315483960.0000000 455457.5579706 4619236.4824182 0.0000000
315483990.0000000 454144.2604273 4619244.7725900 0.0000000
315484050.0000000 465339.1263735 4625755.7985800 0.0000000
315484200.0000000 454282.0490860 4640719.5282920 0.0000000
315484440.0000000 466714.0144256 4639189.5584299 0.0000000
315484740.0000000 465339.1263735 4625755.7985800 0.0000000
315484770.0000000 445406.9707878 4635960.8990263 0.0000000
315484890.0000000 439301.9774436 4649889.8964935 0.0000000
315484920.0000000 452949.5203871 4637221.9339313 0.0000000
315484950.0000000 432943.1781737 4634314.1168524 -1.0000000
315485010.0000000 417009.7705087 4644855.7036816 -1.0000000
315485040.0000000 481390.5209854 4617369.1093293 0.0000000
315485070.0000000 472876.9674199 4623970.1630769 0.0000000
315485130.0000000 490248.4548416 4610777.8552603 0.0000000
315485190.0000000 466838.0021912 4665632.1311966 0.0000000
315485310.0000000 495202.8299795 4646125.5909039 0.0000000
315485340.0000000 474225.7979904 4634045.2430543 0.0000000
315485370.0000000 459134.3152393 4630609.5934140 0.0000000
315485400.0000000 454324.3340616 4647293.5773582 0.0000000
315485430.0000000 464051.3264029 4630583.1240116 0.0000000
315485460.0000000 464060.1606864 4632336.1656030 0.0000000
315485490.0000000 469044.0531442 4647944.5756753 0.0000000
315485490.0000000 461775.5222031 4634101.1452472 0.0000000
315485520.0000000 442122.4057512 4674850.1629916 0.0000000
315485580.0000000 479067.4170477 4609048.7552872 0.0000000
315485640.0000000 471559.3301696 4622660.4997948 0.0000000
315485670.0000000 468968.3249391 4630560.0434766 0.0000000
315485700.0000000 460578.6263616 4654560.8758028 0.0000000
315485760.0000000 477783.5239457 4619132.4052686 0.0000000
315485910.0000000 437130.4460175 4663058.2611966 0.0000000
315485940.0000000 450592.3322520 4674785.5862981 0.0000000
315485970.0000000 477803.9321428 4625706.2074034 0.0000000
315486000.0000000 445521.3338706 4650862.0928821 0.0000000
315486030.0000000 488933.6460500 4610779.7615363 0.0000000
315486180.0000000 465275.4249174 4612608.2382569 0.0000000
315486240.0000000 434707.1925278 4683243.4110470 -1.0000000
315486240.0000000 450122.1690348 4607438.3548664 0.0000000
315486360.0000000 466706.4978674 4637582.5858809 0.0000000
315486420.0000000 464051.3264029 4630583.1240116 0.0000000
315486510.0000000 468975.9508429 4632313.0836355 0.0000000
315486540.0000000 469004.5690786 4638887.0290656 0.0000000
315486660.0000000 476464.4801958 4617383.5982013 0.0000000
315486960.0000000 467665.0710878 4632318.9074710 0.0000000
315487410.0000000 471678.1435944 4652462.4644418 0.0000000
315487560.0000000 459192.1032803 4640689.6595151 0.0000000
315487620.0000000 464018.2222757 4624009.2589216 0.0000000
315487650.0000000 441888.6337160 4646361.8006102 0.0000000
315487650.0000000 465290.2752644 4615675.9780686 0.0000000
315487920.0000000 488982.4201058 4642334.1871582 0.0000000
315487980.0000000 467673.0216982 4634071.9539154 0.0000000
315488010.0000000 465379.5476200 4634082.7261789 0.0000000
315488040.0000000 451493.9403554 4615756.0586872 0.0000000
315488460.0000000 457843.8522940 4634123.3175434 0.0000000
315488490.0000000 452929.2520545 4634154.0833651 0.0000000
315488550.0000000 440588.8609141 4647395.2687217 0.0000000
315488580.0000000 488972.2363316 4635760.2190325 0.0000000
315488640.0000000 460234.8477736 4592474.7021738 0.0000000
315488670.0000000 486645.7816884 4617795.6377534 0.0000000
315488730.0000000 505002.2009387 4664533.3196185 -1.0000000
315488730.0000000 495191.1012744 4628741.1474368 0.0000000
315488760.0000000 468975.9508429 4632313.0836355 0.0000000
315488790.0000000 462671.5400947 4617442.1864996 0.0000000
315488820.0000000 465362.5208747 4630576.6378804 0.0000000
315488910.0000000 465290.2752644 4615675.9780686 0.0000000
315488940.0000000 463916.9439548 4603849.8294935 0.0000000
315489000.0000000 495206.0888605 4650946.5722856 0.0000000
315489000.0000000 477803.9321428 4625706.2074034 0.0000000
315489030.0000000 452600.7199578 4584194.0106641 -1.0000000
315489060.0000000 451393.2443442 4600855.7023215 0.0000000
315489150.0000000 473922.2478336 4640620.3933821 0.0000000
315489180.0000000 464777.2451849 4772887.3688427 2.0000000
315489240.0000000 470286.8303340 4632307.5007946 0.0000000
315489300.0000000 500429.9181433 4746057.2468277 -1.0000000
315489300.0000000 476503.3925431 4629216.4585710 0.0000000
315489330.0000000 493896.8954221 4648902.3071863 0.0000000
315489360.0000000 477924.3944207 4766256.7626927 2.0000000
315489420.0000000 464172.2988825 4654541.7805860 0.0000000
315489480.0000000 485636.4569836 4764482.7934823 2.0000000
315489510.0000000 448088.2498516 4644268.3851856 0.0000000
315489540.0000000 477850.2788967 4640607.0751424 0.0000000
315489570.0000000 482116.3881796 4771066.4394694 2.0000000
315489600.0000000 451755.8061729 4654323.2938480 0.0000000
315489660.0000000 456201.3837722 4787842.0072539 3.0000000
315489690.0000000 451419.3229611 4791381.6778367 3.0000000
315489690.0000000 466596.0470856 4613916.7411499 0.0000000
315489780.0000000 457784.2793867 4624043.3511018 0.0000000
315489810.0000000 473442.2896917 4771094.6778922 2.0000000
315489840.0000000 474363.3827667 4759693.8399351 2.0000000
315489840.0000000 471623.9009963 4638876.1018974 0.0000000
315489870.0000000 465388.0649545 4635835.7769891 0.0000000
315489900.0000000 457823.1192074 4630617.2242198 0.0000000
315489960.0000000 491724.1407603 4746062.2112062 -1.0000000
315489990.0000000 428355.5382656 4666648.4904444 -1.0000000
315489990.0000000 444265.6004845 4657446.4283920 0.0000000
315490020.0000000 451394.2103447 4787874.7184960 3.0000000
315490020.0000000 467873.0783602 4605584.0794515 0.0000000
315490050.0000000 463483.1383256 4771140.6939107 2.0000000
315490080.0000000 466759.8431692 4648977.5650521 0.0000000
315490110.0000000 467386.5805391 4781203.4344368 2.0000000
315490110.0000000 434068.0781556 4614142.0022527 -1.0000000
315490140.0000000 451618.6988151 4634162.8599625 0.0000000
315490170.0000000 471664.1330610 4648956.2783203 0.0000000
315490200.0000000 470356.3282843 4648961.6232032 0.0000000
315490230.0000000 468983.5791199 4634066.1297203 0.0000000
315490290.0000000 473102.0434309 4766274.0366393 2.0000000
315490290.0000000 457745.4848882 4617469.5465473 0.0000000
315490320.0000000 459059.0945532 4617461.9193670 0.0000000
315490440.0000000 458735.9412379 4783003.9206647 2.0000000
315490470.0000000 502680.4489040 4762714.8340882 -1.0000000
315490500.0000000 508815.4946800 4744309.5279193 -1.0000000
315490530.0000000 489147.4230687 4747819.1546724 -1.0000000
315490530.0000000 465290.2752644 4615675.9780686 0.0000000
315490560.0000000 476954.0171404 4764506.5374885 2.0000000
315490590.0000000 482111.7947695 4769313.0188972 2.0000000
315490680.0000000 476948.1100421 4762753.1333892 2.0000000
315490710.0000000 493340.9981563 4750882.2019185 -1.0000000
315490740.0000000 479208.4982172 4657257.4401265 0.0000000
315490770.0000000 461428.9199173 4630596.8193070 0.0000000
315490800.0000000 464018.2222757 4624009.2589216 0.0000000
315490830.0000000 459011.5456842 4609135.1985460 0.0000000
315490890.0000000 471534.8449103 4775924.3873116 2.0000000
315490980.0000000 440340.0296261 4617593.3478604 0.0000000
315491130.0000000 471268.2220037 4631865.2112045 0.0000000
315491190.0000000 451538.4501432 4622329.8558881 0.0000000
315491220.0000000 462584.8981282 4600788.8654368 0.0000000
315491280.0000000 446904.4944119 4660932.5767678 0.0000000
315491310.0000000 456664.5198445 4655606.4345589 0.0000000
315491340.0000000 451449.4826406 4609182.3298594 0.0000000
315491430.0000000 476470.2398252 4619136.6004001 0.0000000
315491460.0000000 470244.8652043 4622227.5857058 0.0000000
315491490.0000000 448286.2167714 4671295.6462793 0.0000000
315491490.0000000 466712.6476198 4638897.3813019 0.0000000
315491520.0000000 475190.4271483 4628782.6390485 0.0000000
315491550.0000000 473854.8636374 4622213.4806454 0.0000000
315491580.0000000 440609.6560908 4649878.8241500 0.0000000
315491580.0000000 465339.1263735 4625755.7985800 0.0000000
315491670.0000000 459154.4037391 4634115.6857929 0.0000000
315491700.0000000 451550.3282038 4624082.8793191 0.0000000
315491730.0000000 460271.6146064 4658068.9251957 0.0000000
315491730.0000000 446455.7330204 4600890.7184670 0.0000000
315491790.0000000 473898.1568269 4634046.4355088 0.0000000
315491820.0000000 475219.3877719 4637109.5946081 0.0000000
315491880.0000000 464421.8210023 4766313.7026558 2.0000000
315491910.0000000 493875.4489324 4623921.3383190 0.0000000
315492000.0000000 460464.9631385 4634108.2950116 0.0000000
315492030.0000000 496500.2530451 4623919.5716472 0.0000000
315492060.0000000 473011.5045824 4659323.6958878 0.0000000
315492180.0000000 454186.3849184 4625818.6015426 0.0000000
315492210.0000000 457755.8256534 4619222.5542787 0.0000000
315492240.0000000 473134.8382629 4774602.7944753 2.0000000
315492330.0000000 457763.5833483 4620537.3140571 0.0000000
315492390.0000000 470252.1580948 4623980.6026407 0.0000000
315492420.0000000 462519.3491909 4771145.9182793 2.0000000
315492510.0000000 467635.2783021 4625745.0295054 0.0000000
315492570.0000000 446456.1732261 4771253.0280841 -1.0000000
315492630.0000000 459182.0457855 4638936.5934759 0.0000000
315492660.0000000 464051.3264029 4630583.1240116 0.0000000
315492690.0000000 464682.3321383 4754476.6111399 -1.0000000
315492690.0000000 445266.1145086 4617554.0189248 0.0000000
315492720.0000000 459134.3152393 4630609.5934140 0.0000000
315492750.0000000 446521.5573520 4779581.8767153 3.0000000
315492780.0000000 460372.7121749 4617454.5330115 0.0000000
315492870.0000000 443900.4746661 4773027.1084626 -1.0000000
315493080.0000000 459086.6550764 4622282.7016565 0.0000000
315493110.0000000 474202.0370554 4627471.3521560 0.0000000
315493170.0000000 452862.7336045 4624074.1058737 0.0000000
315493260.0000000 470244.8652043 4622227.5857058 0.0000000
315493290.0000000 469012.2062267 4640640.0921012 0.0000000
315493380.0000000 493869.8208856 4617347.5630204 0.0000000
315493410.0000000 476497.6225919 4627463.4286419 0.0000000
315493440.0000000 467589.6635103 4615665.2129529 0.0000000
315493620.0000000 461447.8803927 4634102.9101042 0.0000000
315493650.0000000 465371.0329229 4632329.6790692 0.0000000
315493680.0000000 452917.6750863 4632401.0318496 0.0000000
315493710.0000000 491547.3262309 4597190.7406573 0.0000000
315493740.0000000 475401.4326210 4594598.3040712 0.0000000
315493770.0000000 465322.1247552 4622249.7559742 0.0000000
315493800.0000000 468867.5055393 4607332.7100058 0.0000000
315493860.0000000 465307.2570255 4619181.9846114 0.0000000
315493890.0000000 468903.6004387 4615659.3926225 0.0000000
315493950.0000000 466681.9131670 4632323.4334912 0.0000000
315493980.0000000 452819.4160950 4617500.2939465 0.0000000
315494010.0000000 465411.5012503 4640656.6923582 0.0000000
315494040.0000000 462932.1254157 4604293.0881905 0.0000000
315494130.0000000 463052.0500422 4627520.3341778 0.0000000
315494160.0000000 459126.7852661 4629294.8133059 0.0000000
315494220.0000000 504036.1430345 4642326.7944539 -1.0000000
315494310.0000000 467627.3394215 4623992.0059236 0.0000000
315494340.0000000 472915.2415529 4634050.1032191 0.0000000
315494370.0000000 473770.1452857 4598986.4671838 0.0000000
315494400.0000000 467867.2054426 4604269.3528793 0.0000000
315494430.0000000 456533.2921917 4634131.1903611 0.0000000
315494610.0000000 475087.1290678 4598981.7938227 0.0000000
315494640.0000000 507641.1279571 4637508.8336473 -1.0000000
315494670.0000000 492911.2270287 4644082.2538602 0.0000000
315494730.0000000 465388.0649545 4635835.7769891 0.0000000
315494760.0000000 467702.8584460 4640645.9176293 0.0000000
315494790.0000000 461513.5427426 4646228.2872439 0.0000000
315494880.0000000 464018.2222757 4624009.2589216 0.0000000
315494940.0000000 484119.4965863 4662796.2754041 0.0000000
315494940.0000000 462774.4749486 4637163.7854276 0.0000000
315495030.0000000 488982.4201058 4642334.1871582 0.0000000
315495120.0000000 467957.4082680 4624428.7832229 0.0000000
315495150.0000000 482744.3975591 4634019.5264931 0.0000000
315495270.0000000 458230.7014862 4644201.5103427 0.0000000
315495300.0000000 453175.1393693 4671261.4489066 0.0000000
315495300.0000000 471604.6848860 4634055.2043904 0.0000000
315495330.0000000 448347.4012471 4679623.1937884 0.0000000
315495330.0000000 475196.5205708 4630535.6728722 0.0000000
315495390.0000000 445513.4758109 4649839.4505251 0.0000000
315495390.0000000 465290.2752644 4615675.9780686 0.0000000
315495540.0000000 458014.5222729 4662903.2227560 0.0000000
315495630.0000000 451724.9642289 4649794.4458022 0.0000000
315495660.0000000 446953.9183875 4667506.8437005 0.0000000
315495810.0000000 470266.7506923 4627486.6520682 0.0000000
315495840.0000000 471571.5320378 4625728.2849389 0.0000000
315495870.0000000 472845.4012872 4615643.3767560 0.0000000
315495930.0000000 476556.8495815 4645432.2188505 0.0000000
315496140.0000000 488953.9353791 4623927.2481467 0.0000000
315496170.0000000 482699.9028971 4615612.8203212 0.0000000
315496200.0000000 470182.9673779 4607327.1322622 0.0000000
315496440.0000000 490252.6228004 4613845.5777995 0.0000000
315496590.0000000 466651.2144857 4625749.5544652 0.0000000
315496620.0000000 488979.7032748 4640581.1217514 0.0000000
315496860.0000000 470244.8652043 4622227.5857058 0.0000000
315496920.0000000 475173.6799961 4623961.8189545 0.0000000
315496950.0000000 451713.0320156 4648041.3521645 0.0000000
315496950.0000000 473774.9312917 4600301.1817186 0.0000000
315496980.0000000 482764.5738276 4642346.5443591 0.0000000
315497040.0000000 466416.3006896 4645472.9363159 0.0000000
315497250.0000000 451413.9539839 4603923.3947706 0.0000000
315497400.0000000 470294.1362788 4634060.5465346 0.0000000
315497430.0000000 445513.4758109 4649839.4505251 0.0000000
315497430.0000000 468947.3659160 4625739.2070344 0.0000000
315497460.0000000 475260.6157504 4648942.8231333 0.0000000
315497490.0000000 468939.7488934 4623986.1838207 0.0000000
315497520.0000000 466868.9173678 4672206.4221390 -1.0000000
315497610.0000000 447906.1017716 4619287.4405777 0.0000000
315497670.0000000 445537.0542267 4652907.3813613 0.0000000
315497670.0000000 463976.3458356 4615682.4606987 0.0000000
315497700.0000000 445550.5333206 4654660.4907875 0.0000000
315497700.0000000 467589.6635103 4615665.2129529 0.0000000
315497730.0000000 484086.0327162 4647894.8960787 0.0000000
315497730.0000000 491578.7399669 4623923.6746481 0.0000000
315497760.0000000 465411.5012503 4640656.6923582 0.0000000
315497820.0000000 467992.7931275 4632317.4289095 0.0000000
315497850.0000000 457567.6149859 4587230.9107939 -1.0000000
315497880.0000000 457804.9883215 4627549.4084435 0.0000000
315497910.0000000 479091.6995032 4617375.4493102 0.0000000
315497940.0000000 459086.6550764 4622282.7016565 0.0000000
315498030.0000000 462584.8981282 4600788.8654368 0.0000000
315498060.0000000 466528.7780484 4599454.7114349 0.0000000
315498090.0000000 453076.2043123 4656359.8083128 0.0000000
315498090.0000000 482679.8221678 4607286.1522070 0.0000000
315498120.0000000 431703.0390110 4741574.0397244 -1.0000000
315498150.0000000 446969.3063498 4669552.1844841 0.0000000
315498150.0000000 465298.7648232 4617428.9794912 0.0000000
315498270.0000000 463270.4455825 4731251.4971868 4.0000000
315498330.0000000 440061.8290232 4737989.2904603 4.0000000
315498360.0000000 449759.4371536 4739665.2687847 4.0000000
315498360.0000000 451845.4865238 4667471.7455137 0.0000000
315498510.0000000 472833.7834450 4612575.6406583 0.0000000
315498540.0000000 439423.4229959 4664060.9604513 0.0000000
315498570.0000000 448827.0341014 4744494.1054311 4.0000000
315498630.0000000 445705.8414502 4674821.5975602 0.0000000
315498720.0000000 458954.0809744 4599055.6279488 0.0000000
315498750.0000000 433326.6991202 4674928.0168056 -1.0000000
315498750.0000000 467971.1631649 4627496.5784814 0.0000000
315498810.0000000 440046.5944152 4736235.9516507 -1.0000000
315498870.0000000 456203.2107230 4737867.9076678 4.0000000
315498870.0000000 468529.4734089 4750658.8309778 -1.0000000
315498900.0000000 452295.9736641 4733071.9346545 4.0000000
315498900.0000000 471597.7012701 4632302.1589803 0.0000000
315498930.0000000 471564.5587252 4623975.2624156 0.0000000
315499140.0000000 454748.9223164 4712891.6682343 -1.0000000
315499200.0000000 451630.6018218 4635915.9156962 0.0000000
315499230.0000000 451606.7994941 4632409.8079051 0.0000000
315499410.0000000 480179.6136180 4654186.6947123 0.0000000
315499440.0000000 482805.0153922 4659000.9071553 0.0000000
315499470.0000000 465258.4630366 4609102.2688780 0.0000000
315499530.0000000 472871.9801889 4622655.4006989 0.0000000
315499710.0000000 462530.3096374 4590271.2008189 0.0000000
315499770.0000000 496506.0513623 4635752.5393019 0.0000000
315499830.0000000 486719.5687968 4657239.3535204 0.0000000
315499890.0000000 474130.9205136 4607750.0872760 0.0000000
315499920.0000000 465281.7883604 4613922.9825636 0.0000000
315500010.0000000 465411.5012503 4640656.6923582 0.0000000
315500040.0000000 487715.0336063 4666295.3736755 0.0000000
315500070.0000000 477855.7394951 4642360.1421143 0.0000000
315500130.0000000 490289.0399258 4640579.2134303 0.0000000
315500160.0000000 480025.8058603 4598966.4124181 0.0000000
315500190.0000000 500109.8492056 4592365.2145527 0.0000000
315500220.0000000 482608.1989448 4577486.3373326 0.0000000
315500310.0000000 465411.5012503 4640656.6923582 0.0000000
315500340.0000000 467021.2609365 4704494.4769796 -1.0000000
315500340.0000000 471465.4251576 4598995.2247290 0.0000000
315500370.0000000 474268.6373763 4645878.4160150 0.0000000
315500400.0000000 473939.9323707 4645441.3402596 0.0000000
315500640.0000000 485287.4690063 4595886.0845646 0.0000000
315500670.0000000 444257.5445076 4656423.7763556 0.0000000
315500670.0000000 461864.9783036 4650755.3366371 0.0000000
315500700.0000000 477985.9246039 4683996.8855053 -1.0000000
315500790.0000000 490221.1221525 4590618.9040971 0.0000000
315500940.0000000 471505.3732847 4609074.7720969 0.0000000
315500970.0000000 481581.8593760 4690561.0375968 -1.0000000
315501000.0000000 467012.9669250 4702741.2378229 -1.0000000
315501030.0000000 475402.7678871 4689557.3085490 -1.0000000
315501030.0000000 500109.6422964 4605950.5581490 0.0000000
